Framework,Tag,Members,Confidence,CandidateHooks,ParseSites
Antares,IvanBomb.CanDetonateDeathBomb,Ivan_CanDetonateDeathBomb,member-referenced,15,src/Ext/WeaponType/Body.cpp:107
Antares,IvanBomb.CanDetonateTimeBomb,Ivan_CanDetonateTimeBomb,member-referenced,15,src/Ext/WeaponType/Body.cpp:106
Antares,IvanBomb.Damage,Ivan_Damage,member-referenced,15,src/Ext/WeaponType/Body.cpp:93
Antares,IvanBomb.Delay,Ivan_Delay,member-referenced,15,src/Ext/WeaponType/Body.cpp:94
Antares,IvanBomb.DestroysBridges,Ivan_KillsBridges,member-referenced,15,src/Ext/WeaponType/Body.cpp:90
Antares,IvanBomb.Detachable,Ivan_Detachable,member-referenced,15,src/Ext/WeaponType/Body.cpp:91
Antares,IvanBomb.FlickerRate,Ivan_FlickerRate,member-referenced,15,src/Ext/WeaponType/Body.cpp:96
Antares,IvanBomb.Image,Ivan_Image,member-referenced,15,src/Ext/WeaponType/Body.cpp:104
Antares,IvanBomb.TickingSound,Ivan_TickingSound,member-referenced,34,src/Ext/WeaponType/Body.cpp:98
Antares,IvanBomb.Warhead,Ivan_WH,member-referenced,15,src/Ext/WeaponType/Body.cpp:102
Antares,KillDriver,KillDriver,member-referenced-broad,88,src/Ext/WarheadType/Body.cpp:97
Antares,KillDriver.KillBelowPercent,KillDriver_KillBelowPercent,member-referenced,31,src/Ext/WarheadType/Body.cpp:99
Antares,KillDriver.Owner,KillDriver_Owner,member-referenced,31,src/Ext/WarheadType/Body.cpp:101
Antares,LaserThickness,Laser_Thickness,member-referenced,14,src/Ext/WeaponType/Body.cpp:78
Antares,LevelDelay,Level_Delay,member-referenced,3,src/Enum/RadTypes.cpp:42
Antares,LevelFactor,Level_Factor,same-subsystem,2,src/Enum/RadTypes.cpp:44
Antares,LevelMax,Level_Max,same-subsystem,2,src/Enum/RadTypes.cpp:41
Antares,Light.Ambient,Lighting_Ambient,member-referenced-broad,58,src/Ext/SWType/Body.cpp:188
Antares,Light.Blue,Lighting_Blue,member-referenced-broad,58,src/Ext/SWType/Body.cpp:191
Antares,Light.Enabled,Lighting_Enabled,member-referenced,22,src/Ext/SWType/Body.cpp:187
Antares,Light.Green,Lighting_Green,member-referenced-broad,58,src/Ext/SWType/Body.cpp:190
Antares,Light.Red,Lighting_Red,member-referenced-broad,58,src/Ext/SWType/Body.cpp:189
Antares,LightDelay,Light_Delay,member-referenced,3,src/Enum/RadTypes.cpp:43
Antares,LightFactor,Light_Factor,member-referenced,3,src/Enum/RadTypes.cpp:45
Antares,Lightning.BoltExplosion,Weather_BoltExplosion,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:80
Antares,Lightning.Bolts,Weather_Bolts,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:83
Antares,Lightning.CloudHeight,Weather_CloudHeight,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:79
Antares,Lightning.Clouds,Weather_Clouds,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:82
Antares,Lightning.Debris,Weather_Debris,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:84
Antares,Lightning.DebrisMax,Weather_DebrisMax,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:78
Antares,Lightning.DebrisMin,Weather_DebrisMin,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:77
Antares,Lightning.Duration,Weather_Duration,member-referenced,1,src/Misc/SWTypes/LightningStorm.cpp:69
Antares,Lightning.HitDelay,Weather_HitDelay,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:71
Antares,Lightning.IgnoreLightningRod,Weather_IgnoreLightningRod,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:76
Antares,Lightning.PrintText,Weather_PrintText,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:75
Antares,Lightning.RadarOutage,Weather_RadarOutage,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:70
Antares,Lightning.RadarOutageAffects,Weather_RadarOutageAffects,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:81
Antares,Lightning.ScatterCount,Weather_ScatterCount,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:73
