Address,Framework,Channel,Function,StolenBytes,Subsystem,SourceFile
0x4666F7,Phobos,release,BulletClass_AI_Trajectories,0x6,Ext/Bullet/Trajectories,src/Ext/Bullet/Trajectories/PhobosTrajectory.cpp
0x466781,Kratos,release,BulletClass_UpdateEnd,0x6,Hooks,src/Hooks/BulletExtHook.cpp
0x466897,Phobos,release,BulletClass_AI_Trailer,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x4668BD,Phobos,release,BulletClass_AI_Interceptor_InvisoSkip,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x466E18,Kratos,release,BulletClass_CheckHight_UnderGround,0x6,Hooks,src/Hooks/BulletExtHook.cpp
0x46703E,Phobos,release,BulletClass_AI_SkipBridgeCheck1,0x6,Ext/Bullet/Trajectories,src/Ext/Bullet/Trajectories/PhobosTrajectory.cpp
0x4671B9,Phobos,release,BulletClass_AI_ApplyGravity,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x46745C,Kratos,release,BulletClass_Update_ChangeVelocity,0x7,Hooks,src/Hooks/BulletExtHook.cpp
0x46745C,Phobos,release,BulletClass_AI_Position_Trajectories,0x7,Ext/Bullet/Trajectories,src/Ext/Bullet/Trajectories/PhobosTrajectory.cpp
0x4674D4,Phobos,release,BulletClass_AI_SkipBridgeCheck2,0x6,Ext/Bullet/Trajectories,src/Ext/Bullet/Trajectories/PhobosTrajectory.cpp
0x4677C7,Kratos,release,BulletClass_Update_ChangeVelocity_Locked,0x8,Hooks,src/Hooks/BulletExtHook.cpp
0x4677D3,Phobos,release,BulletClass_AI_TargetCoordCheck_Trajectories,0x5,Ext/Bullet/Trajectories,src/Ext/Bullet/Trajectories/PhobosTrajectory.cpp
0x467927,Phobos,release,BulletClass_AI_TechnoCheck_Trajectories,0x5,Ext/Bullet/Trajectories,src/Ext/Bullet/Trajectories/PhobosTrajectory.cpp
0x467AB2,Phobos,release,BulletClass_AI_Parabomb,0x7,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x467B94,Antares,release,BulletClass_Update_Ranged,0x7,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x467B94,Ares,release,BulletClass_Update_Ranged,0x7,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x467CCA,Phobos,release,BulletClass_AI_TargetSnapChecks,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x467E53,Phobos,release,BulletClass_AI_PreDetonation_Trajectories,0x6,Ext/Bullet/Trajectories,src/Ext/Bullet/Trajectories/PhobosTrajectory.cpp
0x467E59,Antares,release,BulletClass_Update_NukeBall,0x5,Ext/SWType,src/Ext/SWType/Hooks.Legacy.cpp
0x467E59,Ares,release,BulletClass_Update_NukeBall,0x5,Ext/SWType,src/Ext/SWType/Hooks.Legacy.cpp
0x467FEE,Kratos,release,BulletClass_UpdateEnd,0x6,Hooks,src/Hooks/BulletExtHook.cpp
0x468000,Antares,release,BulletClass_GetAnimFrame,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x468000,Ares,release,BulletClass_GetAnimFrame,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x468379,Antares,release,BulletClass_Draw_SetAnimPalette,0x6,Ext/AnimType,src/Ext/AnimType/Hooks.cpp
0x468379,Ares,release,BulletClass_Draw_SetAnimPalette,0x6,Ext/AnimType,src/Ext/AnimType/Hooks.cpp
0x4683E2,Kratos,release,BulletClass_DrawSHP_Colour,0x5,Hooks,src/Hooks/BulletExtHook.cpp
0x4683E7,Kratos,release,BulletClass_DrawSHP_Bright,0x9,Hooks,src/Hooks/BulletExtHook.cpp
0x4683F2,Phobos,release,BulletClass_Draw_ZAdjust,0x5,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x468503,Phobos,release,BulletClass_PointerExpired_OwnerFix,0x6,Misc,src/Misc/Hooks.BugFixes.cpp
0x46867F,Antares,release,BulletClass_SetMovement_Parachute,0x5,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x46867F,Ares,release,BulletClass_SetMovement_Parachute,0x5,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x4687F8,Phobos,release,BulletClass_Unlimbo_FlakScatter,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x4688A9,Phobos,release,BulletClass_Unlimbo_Obstacles,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.Obstacles.cpp
0x4688BD,Antares,release,BulletClass_SetMovement_Obstacle,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
0x4688BD,Ares,release,BulletClass_SetMovement_Obstacle,0x6,Ext/Bullet,src/Ext/Bullet/Hooks.cpp
