String,Kind,Domains,ReadSites,StringVA
BarrelDebris,tag,ra2|rules|ts,0x66d6ed,0x83cf2c
BarrelExplode,tag,ra2|rules|ts,0x66d6b7,0x83cf3c
BarrelHoldFrames,tag,ra2|rules,0x715392,0x843568
BarrelParticle,tag,ra2|rules|ts,0x66d7ed,0x83cf1c
BarrelRecoverFrames,tag,ra2|rules,0x7153ba,0x843554
BarrelStartPitch,unclassified,,0x460c56,0x81a94c
BarrelTravel,tag,ra2|rules,0x71533b,0x843594
BaseBias,tag,ra2|rules|ts,0x670b4d,0x83bf18
BaseDefenseDelay,tag,ra2|rules|ts,0x670b92,0x83bef0
BaseNormal,tag,map|ra2|rules|ts|tsfs,0x4601f0,0x81ace4
BaseSizeAdd,tag,ra2|rules|ts,0x673abd,0x83d2c4
BaseUnderAttackSound,tag,ra2|rules,0x669cbb,0x83a8b4
BaseUnit,tag,ra2|rules|ts,0x66f7da,0x83c764
Bases,tag,ra2|rules|ts,0x67208a,0x83d010
Basic,unclassified,,0x599859 0x683c77 0x683c92 0x686c1e 0x686c3c 0x6877d6 0x687888 0x687bde 0x689fcf 0x689fed 0x68a007 0x68a023 0x68a041 0x68a05f 0x68a07d 0x68a09b 0x68a0b9 0x68a0d7 0x68a0f5 0x68a113 0x68a131 0x68a144 0x68a16e 0x68a1ab 0x68a1c9 0x68a1e7 0x68a205 0x68a223 0x68a241 0x68a25f 0x68a27d 0x68a29b 0x68a2b9 0x68a364 0x68a4c5 0x68a57f 0x68a59b 0x68a5b5 0x68a5d7 0x68a5f5 0x68a60f 0x68a631 0x68a644 0x68acc4 0x6997db 0x6997fd 0x699827 0x699853 0x6998a1 0x69a06a 0x69a0b6,0x82bf9c
Battle,unclassified,,0x5d7d3c,0x830c00
Battles,unclassified,,0x46ce17 0x46ce41 0x46ce50,0x81b1d8
Baud,unclassified,,0x698519 0x699295,0x83f0c4
BehavesLike,tag,ra2|rules|ts|tsfs,0x64440e 0x6453c3,0x837044
Behind,tag,ra2|rules,0x66e4f5,0x83ccec
BerserkColor,tag,rules,0x66b864,0x83a194
BerserkFriendly,tag,rules,0x7148fa,0x8439f8
BerzerkAllowed,tag,ra2|rules|ts,0x66ccf0,0x83adcc
BestBox,unclassified,,0x68d1c0 0x68e272,0x83e408
Bib,tag,ra2|rules|ts|tsfs,0x460084,0x81ade8
BibShape,tag,art|ra2|ts|tsfs,0x45f862,0x819428
BlackTile,tag,ra2|theater|ts,0x5456c3,0x829520
BlendedFog,tag,ra2|rules|ts,0x670f09,0x83bd78
BlockagePathDelay,tag,ra2|rules|ts,0x673a18,0x83d314
Blue,tag,map|ts,0x68a8e5 0x68b675,0x8207dc
BlueTint,unclassified,,0x5998e5,0x82bf68
BombAttachSound,tag,ra2|rules,0x669aae,0x83a970
BombDisarm,tag,ra2|rules,0x75d908,0x847d24
BombParachute,tag,ra2|rules|ts,0x66e5b1,0x83ccc4
BombSight,tag,ra2|rules,0x71431c,0x843d30
BombTickingSound,tag,ra2|rules,0x669a6c,0x83a980
Bombable,tag,ra2|rules,0x5f9420,0x832bcc
Bootstrap.....,unclassified,,0x52bb02,0x82612c
BounceAnim,unclassified,,0x42840d 0x74b330,0x8183f8
Bouncer,tag,art|ra2|ts,0x4286a7,0x8183ac
Bouncy,tag,ra2|rules|ts|tsfs,0x46c171,0x81b084
BrainBlastTurretIndex,tag,ra2|rules,0x747d21,0x845b38
BrainBlastTurretWeapon,tag,ra2|rules,0x747d30,0x845b20
BridgeBottomLeft1,tag,ra2|theater|ts,0x545bd9,0x8292e8
BridgeBottomLeft2,tag,ra2|theater|ts,0x545bf2,0x8292d4
BridgeBottomRight1,tag,ra2|theater|ts,0x545b75,0x829330
BridgeBottomRight2,tag,ra2|theater|ts,0x545b8e,0x82931c
BridgeDestruction,tag,ra2|rules,0x67202b,0x83d02c
BridgeExplosions,tag,ra2|rules|ts,0x66dba8,0x83cedc
BridgeMiddle1,tag,ra2|theater|ts,0x545c0b,0x8292c4
BridgeMiddle2,tag,ra2|theater|ts,0x545c24,0x8292b4
BridgeRepairHut,tag,ra2|rules|ts,0x460e8d,0x81a898
BridgeSet,tag,ra2|theater|ts,0x5456de,0x829514
BridgeStrength,tag,ra2|rules|ts,0x66cd73,0x83ad90
BridgeTopLeft1,tag,ra2|theater|ts,0x545ab7,0x829354
BridgeTopLeft2,tag,ra2|theater|ts,0x545b5c,0x829344
BridgeTopRight1,tag,ra2|theater|ts,0x545ba7,0x82930c
BridgeTopRight2,tag,ra2|theater|ts,0x545bc0,0x8292fc
BridgeVoxelMax,tag,ra2|rules|ts,0x66f0a9,0x83c954
Brief,tag,map,0x683c8d 0x68a01e 0x68b2e2,0x83d8a8
Briefing,tag,map|mission|ra2|ts|tsfs,0x686e19 0x686e49 0x68adc5,0x839718
Bright,tag,ra2|rules|ts|tsfs,0x75d5ff 0x772806,0x847dd0
BuildAA,tag,ra2|ts,0x6734f2,0x83d3dc
BuildBarracks,tag,ra2|rules|ts,0x672ddf,0x83d474
BuildCat,tag,ra2|rules,0x45fe84,0x81aee4
BuildConst,tag,ra2|rules|ts,0x672b23,0x83d4a0
BuildDefense,tag,ra2|ts,0x673348,0x83d3f4
BuildDelay,tag,ra2|rules|ts,0x66d33b,0x83b3e0
BuildDummy,tag,ra2|rules,0x6738ef,0x83d384
BuildHelipad,tag,ra2|ts,0x6735c6,0x83d3cc
BuildLimit,tag,ra2|rules|ts|tsfs,0x71314a,0x8441a0
BuildNavalYard,tag,ra2|rules,0x6738b8,0x83d390
BuildOffAlly,unclassified,,0x6721c7 0x697ff0 0x699025,0x83cf84
BuildPDefense,tag,ra2|ts,0x67341d,0x83d3e4
BuildPower,tag,ra2|rules|ts,0x672c15,0x83d494
BuildRadar,tag,ra2|rules|ts,0x67369b,0x83d3c0
BuildRefinery,tag,ra2|rules|ts,0x672cfa,0x83d484
BuildSlowdown,tag,ra2|rules|ts,0x66d34d,0x83b3d0
BuildSpeed,tag,ra2|rules|ts,0x670d1b,0x83be2c
BuildTech,tag,ra2|rules|ts,0x672ec3,0x83d468
BuildTime,tag,ra2|rules|ts,0x511a4e 0x66d366,0x825464
BuildTimeAircraftMult,unclassified,,0x511ca8,0x8252f4
BuildTimeBuildingsMult,unclassified,,0x511cc5,0x8252dc
BuildTimeDefensesMult,unclassified,,0x511ce6,0x8252c4
BuildTimeInfantryMult,unclassified,,0x511c6a,0x825320
BuildTimeMultiplier,tag,rules,0x714371,0x843cf0
